"","Cruise","depth","sal","temp","dissolvedO","dO_percent","id"
"8063","RP2",81.8,36.2917,22.7776,4.4945,91.974,"ADAPTIVE STN 2"
"8064","RP2",82,36.2917,22.7779,4.4978,92.041,"ADAPTIVE STN 2"
"8065","RP2",82.2,36.2909,22.778,4.4952,91.988,"ADAPTIVE STN 2"
"8066","RP2",82.4,36.2913,22.7782,4.4852,91.784,"ADAPTIVE STN 2"
"8067","RP2",82.6,36.2915,22.7784,4.5,92.087,"ADAPTIVE STN 2"
"8068","RP2",82.8,36.2928,22.7916,4.5132,92.378,"ADAPTIVE STN 2"
"8069","RP2",83,36.2917,22.8012,4.491,91.939,"ADAPTIVE STN 2"
"8070","RP2",83.2,36.2917,22.8055,4.4693,91.503,"ADAPTIVE STN 2"
"8071","RP2",83.4,36.292,22.8055,4.4814,91.75,"ADAPTIVE STN 2"
"8072","RP2",83.6,36.2919,22.8052,4.4743,91.605,"ADAPTIVE STN 2"
"8073","RP2",83.8,36.2908,22.8016,4.4683,91.475,"ADAPTIVE STN 2"
"8074","RP2",84,36.291,22.7898,4.4915,91.931,"ADAPTIVE STN 2"
"8075","RP2",84.2,36.2925,22.7794,4.4903,91.89,"ADAPTIVE STN 2"
"8076","RP2",84.4,36.2929,22.7794,4.5088,92.269,"ADAPTIVE STN 2"
"8077","RP2",84.6,36.2951,22.7824,4.5006,92.107,"ADAPTIVE STN 2"
"8078","RP2",84.8,36.2949,22.7828,4.4875,91.839,"ADAPTIVE STN 2"
"8079","RP2",85,36.2963,22.7844,4.4968,92.035,"ADAPTIVE STN 2"
"8080","RP2",85.2,36.2943,22.7834,4.504,92.178,"ADAPTIVE STN 2"
"8081","RP2",85.4,36.2956,22.7836,4.4691,91.465,"ADAPTIVE STN 2"
"8082","RP2",85.6,36.2973,22.7842,4.488,91.853,"ADAPTIVE STN 2"
"8083","RP2",85.8,36.2977,22.7805,4.4768,91.62,"ADAPTIVE STN 2"
"8084","RP2",86,36.294,22.8029,4.5114,92.361,"ADAPTIVE STN 2"
"8085","RP2",86.2,36.2957,22.7926,4.4996,92.105,"ADAPTIVE STN 2"
"8086","RP2",86.4,36.298,22.7909,4.496,92.03,"ADAPTIVE STN 2"
"8087","RP2",86.6,36.2993,22.7954,4.5067,92.256,"ADAPTIVE STN 2"
"8088","RP2",86.8,36.2987,22.8037,4.5,92.132,"ADAPTIVE STN 2"
"8089","RP2",87,36.3025,22.794,4.4874,91.86,"ADAPTIVE STN 2"
"8090","RP2",87.2,36.3024,22.7929,4.4677,91.455,"ADAPTIVE STN 2"
"8091","RP2",87.4,36.3056,22.7981,4.4884,91.89,"ADAPTIVE STN 2"
"8092","RP2",87.6,36.3061,22.8,4.4875,91.873,"ADAPTIVE STN 2"
